message_id,category,template_text,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
SLP_SCORE_LOWER_SEVERITY1_V1,sueño,mensaje SLP_SCORE_LOWER_SEVERITY1_V1,,,,,,
SLP_SCORE_LOWER_SEVERITY1_V2,sueño,mensaje SLP_SCORE_LOWER_SEVERITY1_V2,,,,,,
SLP_SCORE_LOWER_SEVERITY1_V3,sueño,mensaje SLP_SCORE_LOWER_SEVERITY1_V3,,,,,,
SLP_SCORE_LOWER_SEVERITY1_V4,sueño,mensaje SLP_SCORE_LOWER_SEVERITY1_V4,,,,,,
SLP_SCORE_LOWER_SEVERITY1_V5,sueño,mensaje SLP_SCORE_LOWER_SEVERITY1_V5,,,,,,
SLP_SCORE_LOWER_SEVERITY1_V6,sueño,mensaje SLP_SCORE_LOWER_SEVERITY1_V6,,,,,,
SLP_SCORE_LOWER_SEVERITY1_V7,sueño,mensaje SLP_SCORE_LOWER_SEVERITY1_V7,,,,,,
SLP_SCORE_LOWER_SEVERITY1_V8,sueño,mensaje SLP_SCORE_LOWER_SEVERITY1_V8,,,,,,
SLP_SCORE_LOWER_SEVERITY1_V9,sueño,mensaje SLP_SCORE_LOWER_SEVERITY1_V9,,,,,,
SLP_SCORE_LOWER_SEVERITY1_V10,sueño,mensaje SLP_SCORE_LOWER_SEVERITY1_V10,,,,,,
SLP_SCORE_LOWER_SEVERITY2_V1,sueño,mensaje SLP_SCORE_LOWER_SEVERITY2_V1,,,,,,
SLP_SCORE_LOWER_SEVERITY2_V2,sueño,mensaje SLP_SCORE_LOWER_SEVERITY2_V2,,,,,,
SLP_SCORE_LOWER_SEVERITY2_V3,sueño,mensaje SLP_SCORE_LOWER_SEVERITY2_V3,,,,,,
SLP_SCORE_LOWER_SEVERITY2_V4,sueño,mensaje SLP_SCORE_LOWER_SEVERITY2_V4,,,,,,
SLP_SCORE_LOWER_SEVERITY2_V5,sueño,mensaje SLP_SCORE_LOWER_SEVERITY2_V5,,,,,,
SLP_SCORE_LOWER_SEVERITY2_V6,sueño,mensaje SLP_SCORE_LOWER_SEVERITY2_V6,,,,,,
SLP_SCORE_LOWER_SEVERITY2_V7,sueño,mensaje SLP_SCORE_LOWER_SEVERITY2_V7,,,,,,
SLP_SCORE_LOWER_SEVERITY2_V8,sueño,mensaje SLP_SCORE_LOWER_SEVERITY2_V8,,,,,,
SLP_SCORE_LOWER_SEVERITY2_V9,sueño,mensaje SLP_SCORE_LOWER_SEVERITY2_V9,,,,,,
SLP_SCORE_LOWER_SEVERITY2_V10,sueño,mensaje SLP_SCORE_LOWER_SEVERITY2_V10,,,,,,
SLP_SCORE_LOWER_SEVERITY3_V1,sueño,mensaje SLP_SCORE_LOWER_SEVERITY3_V1,,,,,,
SLP_SCORE_LOWER_SEVERITY3_V2,sueño,mensaje SLP_SCORE_LOWER_SEVERITY3_V2,,,,,,
SLP_SCORE_LOWER_SEVERITY3_V3,sueño,mensaje SLP_SCORE_LOWER_SEVERITY3_V3,,,,,,
SLP_SCORE_LOWER_SEVERITY3_V4,sueño,mensaje SLP_SCORE_LOWER_SEVERITY3_V4,,,,,,
