id;category;date;label;value;user_id
73;Sleep;"2024-10-21 00:00:00.000000";"Quality of sleep";4.54463;6bb3e3ca-c98c-4e97-8b49-cfddfa2edd55
74;Sleep;"2024-10-21 00:00:00.000000";"Energy level upon awakening";5;6bb3e3ca-c98c-4e97-8b49-cfddfa2edd55
75;Sleep;"2024-10-21 00:00:00.000000";"Level of satisfaction with sleep";5;6bb3e3ca-c98c-4e97-8b49-cfddfa2edd55
76;Nutrition;"2024-10-21 00:00:00.000000";"Quality of food";5;6bb3e3ca-c98c-4e97-8b49-cfddfa2edd55
77;Nutrition;"2024-10-21 00:00:00.000000";"Balanced and healthy diet";5;6bb3e3ca-c98c-4e97-8b49-cfddfa2edd55
78;Nutrition;"2024-10-21 00:00:00.000000";"Degree of satisfaction with nutrition";5;6bb3e3ca-c98c-4e97-8b49-cfddfa2edd55
79;Stress;"2024-10-21 00:00:00.000000";"Level of stress";5;6bb3e3ca-c98c-4e97-8b49-cfddfa2edd55
80;Stress;"2024-10-21 00:00:00.000000";"Ability to handle stress";1.22495;6bb3e3ca-c98c-4e97-8b49-cfddfa2edd55
81;Stress;"2024-10-21 00:00:00.000000";"Degree of emotional well-being";3.34244;6bb3e3ca-c98c-4e97-8b49-cfddfa2edd55
100;Sleep;"2024-10-29 00:00:00.000000";"Quality of sleep";2.04473;99c0a3d8-5e46-4b9b-88e3-c9cfd3034c4f
101;Sleep;"2024-10-29 00:00:00.000000";"Energy level upon awakening";2.02875;99c0a3d8-5e46-4b9b-88e3-c9cfd3034c4f
102;Sleep;"2024-10-29 00:00:00.000000";"Level of satisfaction with sleep";1.2886;99c0a3d8-5e46-4b9b-88e3-c9cfd3034c4f
103;Nutrition;"2024-10-29 00:00:00.000000";"Quality of food";3.07242;99c0a3d8-5e46-4b9b-88e3-c9cfd3034c4f
104;Nutrition;"2024-10-29 00:00:00.000000";"Balanced and healthy diet";1.5016;99c0a3d8-5e46-4b9b-88e3-c9cfd3034c4f
105;Nutrition;"2024-10-29 00:00:00.000000";"Degree of satisfaction with nutrition";3.37061;99c0a3d8-5e46-4b9b-88e3-c9cfd3034c4f
106;Stress;"2024-10-29 00:00:00.000000";"Level of stress";3.23749;99c0a3d8-5e46-4b9b-88e3-c9cfd3034c4f
107;Stress;"2024-10-29 00:00:00.000000";"Ability to handle stress";1.20341;99c0a3d8-5e46-4b9b-88e3-c9cfd3034c4f
108;Stress;"2024-10-29 00:00:00.000000";"Degree of emotional well-being";2.97125;99c0a3d8-5e46-4b9b-88e3-c9cfd3034c4f
109;Sleep;"2024-10-28 00:00:00.000000";"Quality of sleep";2.31629;99c0a3d8-5e46-4b9b-88e3-c9cfd3034c4f
110;Sleep;"2024-10-28 00:00:00.000000";"Energy level upon awakening";3.03514;99c0a3d8-5e46-4b9b-88e3-c9cfd3034c4f
111;Sleep;"2024-10-28 00:00:00.000000";"Level of satisfaction with sleep";0.532481;99c0a3d8-5e46-4b9b-88e3-c9cfd3034c4f
112;Nutrition;"2024-10-28 00:00:00.000000";"Quality of food";2.49201;99c0a3d8-5e46-4b9b-88e3-c9cfd3034c4f
113;Nutrition;"2024-10-28 00:00:00.000000";"Balanced and healthy diet";1.16081;99c0a3d8-5e46-4b9b-88e3-c9cfd3034c4f
114;Nutrition;"2024-10-28 00:00:00.000000";"Degree of satisfaction with nutrition";3.81789;99c0a3d8-5e46-4b9b-88e3-c9cfd3034c4f
115;Stress;"2024-10-28 00:00:00.000000";"Level of stress";1.92758;99c0a3d8-5e46-4b9b-88e3-c9cfd3034c4f
